index,n_rows,n_nodes,n_edges,density,avg_degree,file_size_mb
302,16087700,21511,68978,0.00014907663710096017,3.206638464041653,1674.2613620758057
303,16058877,21769,69767,0.000147228890892374,3.2048784969451973,1671.559287071228
304,15977740,21507,68811,0.0001487710378508104,3.1994699400195286,1663.2694311141968
305,16150235,21566,69504,0.00014944821625972253,3.2228507836409164,1680.9744033813477
306,16188394,21594,68722,0.00014738378595888685,3.1824580902102437,1685.4575080871582
307,16132830,21383,68466,0.00014974695310793562,3.2018893513538793,1680.381492614746
308,16212665,21386,68403,0.00014956718924914462,3.198494342092958,1690.8282976150513
309,16034165,21191,67986,0.00015140390678912213,3.208248784861498,1671.0881824493408
310,16102362,21783,70035,0.00014760453053154032,3.215121884038011,1678.7645959854126
311,16094309,21766,70093,0.00014795762517932155,3.2202977120279335,1678.6516466140747
312,16108144,21653,69115,0.00014741993590539952,3.19193645222371,1694.4287242889404
313,16175415,21884,70926,0.0001481057437005277,3.2409979893986476,1693.4928674697876
314,16284310,22145,72554,0.00014795498533705205,3.27631519530368,1711.2813835144043
315,17255031,22851,76241,0.0001460148979589687,3.336440418362435,1808.4764547348022
316,20070957,23845,82078,0.00014436114748662138,3.442147200671,2117.314203262329
317,21021666,24831,87813,0.00014242554335045545,3.536426241391809,2221.5602283477783
318,19982789,24919,87165,0.0001403777712458725,3.497933303904651,2105.342526435852
319,16672898,22954,76283,0.00014478712026558426,3.3232987714559554,1744.533387184143
320,15653273,21922,71050,0.00014785075506537832,3.241036401788158,1634.6702861785889
321,15826832,21716,69676,0.0001477554618689925,3.2085098544851722,1651.308557510376
322,16158324,21546,69393,0.00014948668440136726,3.2206906154274577,1682.562798500061
323,15974688,21814,70113,0.00014734922024956448,3.21412854130375,1662.9177207946777
324,15840640,21315,68599,0.00015099671057895514,3.2183438892798497,1648.8599786758423
325,16175119,21552,69278,0.000149155865386149,3.214458054936897,1684.7725324630737
326,16205037,21542,69014,0.00014872545876386348,3.203695107232383,1689.0235176086426
327,15713225,21513,68723,0.00014849791067028805,3.1944870543392367,1637.4818391799927
328,16041283,21610,69752,0.00014937132322858347,3.22776492364646,1673.6342964172363
329,15801092,21629,69290,0.00014812138348356405,3.2035692819825234,1648.464940071106
330,15895192,21890,70487,0.0001471083566883963,3.220054819552307,1657.5349531173706
331,15920885,21533,69213,0.0001492790155481472,3.2142757627827057,1661.4731674194336
332,16014426,21829,70053,0.00014702085788455526,3.2091712859040724,1671.2190113067627
333,16334321,22163,71795,0.00014616948029869334,3.2394080223796418,1705.568615913391
334,16359505,22469,73544,0.00014567971651136016,3.27313187057724,1709.7393836975098
335,17343800,22944,76612,0.00014553835467936396,3.3390864714086472,1817.5323638916016
336,19303440,24086,82722,0.00014259677164370403,3.4344432450386115,2031.020378112793
337,20648302,24867,87702,0.00014183394207816972,3.526842803715768,2181.6245918273926
338,19298521,24639,86059,0.00014176459022090167,3.4927959738625756,2030.822808265686
339,16241295,22831,75620,0.00014507942561363255,3.312163286759231,1698.1433629989624
340,15588291,22048,70888,0.00014583239935424933,3.215166908563135,1625.7906322479248
341,15820519,21706,69927,0.0001484244019675896,3.221551644706533,1650.0612201690674
342,16112371,21743,69721,0.00014748391252183624,3.206595226049763,1678.6432905197144
343,15834191,21710,69849,0.00014820421343503053,3.217365269461078,1649.716284751892
344,15806662,21675,69531,0.0001480063335497094,3.2078892733564013,1646.7639656066895
345,15869365,21654,69633,0.00014851109422214104,3.21571072319202,1652.4767971038818
346,15836643,21613,68935,0.00014758076852365684,3.1895155693332717,1651.196436882019
347,15546120,21541,68922,0.00014854098920514213,3.1995729074787613,1619.09690284729
348,15611874,21430,68653,0.00014949802108328654,3.203593093793747,1627.5516777038574
349,15534148,21441,68509,0.00014903141004088275,3.1952334312765265,1620.2528409957886
350,15815253,21655,69509,0.0001482329392063254,3.2098360655737705,1649.0809297561646
351,15901983,21595,68864,0.00014767464648869668,3.188886316276916,1658.0806856155396
352,15788076,21643,69824,0.0001490698698960174,3.2261701242896086,1646.7918138504028
353,15708239,21988,70924,0.00014670385172034156,3.2255775877751502,1639.4385995864868
354,16523513,22274,72681,0.00014650213765003911,3.2630421118793214,1727.3214769363403
355,17074747,22977,76163,0.0001442700875757676,3.3147495321408367,1788.501226425171
356,18967966,24147,82857,0.0001421087522845375,3.4313579326624426,1994.1726322174072
357,20045298,24901,87294,0.00014078884914381433,3.5056423436809765,2114.472333908081
358,18564350,24487,84850,0.0001415136785387153,3.465103932698983,1952.588451385498
359,15637193,22680,74982,0.00014577735597180898,3.306084656084656,1632.508867263794
360,15470332,21553,68768,0.0001480440939930506,3.1906463137382266,1612.2205219268799
361,15431664,21202,67604,0.00015039701506107175,3.188567116309782,1605.5731687545776
362,15636457,21299,68048,0.00015000900455238795,3.1948917789567584,1628.9043226242065
363,15650763,20957,66711,0.00015190076030120592,3.1832323328720715,1625.9047660827637
364,15458778,20960,66099,0.00015046415593658138,3.1535782442748093,1605.321858406067
365,15693031,20898,66271,0.00015175215125407646,3.171164704756436,1630.921898841858
366,15368311,20753,65931,0.00015309070325676967,3.1769382739844843,1597.1649265289307
367,15403899,20769,65713,0.00015234949993994396,3.1639944147527563,1601.2008953094482
368,15611719,20741,65768,0.00015288898295025616,3.170917506388313,1625.3918285369873
369,15414819,20682,65685,0.00015356849772919922,3.175950101537569,1604.0914001464844
370,15522281,20936,66895,0.0001526254590627923,3.195213985479557,1621.3240413665771
371,15556306,20832,66021,0.00015213915940152117,3.1692108294930876,1619.2608003616333
